k	\mu	\sigma	f_o
1.0	0.700718257753706	0.001064914568855721	0.6985884286159946
5.0	0.7244399175645448	0.0011973764567192594	0.7220451646511064
10.0	0.7315522680106274	0.001212462755783469	0.7291273424990605
