penalty	$C$	$\mu$	$\sigma$	$f_o$
l1	0.1	0.7157756926989298	0.0010303893451473502	0.7137149140086351
l1	1	0.7167765633973547	0.0011240452446798352	0.714528472907995
l1	10	0.7164406765307586	0.0007901542904724978	0.7148603679498136
l2	0.1	0.7146977404738397	0.0007949291806310744	0.7131078821125776
l2	1	0.7165689836654742	0.0010935546911178449	0.7143818742832385
l2	10	0.7156428782087111	0.0008206311508626554	0.7140016159069857
