k	$\mu$	$\sigma$	$f_o$
1.0	0.705695940927272	0.0009743638678303714	0.7037472131916112
2.0	0.6975667961360211	0.0008319302676959	0.6959029356006293
4.0	0.7201698359678497	0.0010661209913796746	0.7180375939850904
6.0	0.7245505527003411	0.0012259670270945737	0.7220986186461519
8.0	0.7291809815159015	0.0011544993848895979	0.7268719827461223
10.0	0.7306665722851762	0.0007101481560080259	0.7292462759731602
