$rho$	$C$	$\mu$	$\sigma$	$f_o$
0.0	0.1	0.7169442164998011	0.0013519033056491841	0.7142404098885028
0.0	1.0	0.7184077874322556	0.0012099764890271317	0.7159878344542013
0.0	10.0	0.7185407045654643	0.0010456772579029348	0.7164493500496584
0.5	0.1	0.7176453304147115	0.0013205301389717838	0.7150042701367679
0.5	1.0	0.7182506091373322	0.0008345451609550699	0.7165815188154221
0.5	10.0	0.718665209883685	0.0016319372027376884	0.7154013354782096
1.0	0.1	0.7186799441067935	0.000900732175978224	0.716878479754837
1.0	1.0	0.7181726797680683	0.0009223778749579281	0.7163279240181525
1.0	10.0	0.7178035665270456	0.0012996799090286416	0.7152042067089883
